from file,column
trading_day_yyyymmdd_performance.csv,daily_up_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,daily_up_ws_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,daily_up_pnl_thr_0.0
trading_day_yyyymmdd_performance.csv,daily_up_ppt_thr_0.0
trading_day_yyyymmdd_performance.csv,2day_up_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,2day_up_ws_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,2day_up_pnl_thr_0.0
trading_day_yyyymmdd_performance.csv,2day_up_ppt_thr_0.0
trading_day_yyyymmdd_performance.csv,3day_up_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,3day_up_ws_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,3day_up_pnl_thr_0.0
trading_day_yyyymmdd_performance.csv,3day_up_ppt_thr_0.0
trading_day_yyyymmdd_performance.csv,1week_up_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,1week_up_ws_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,1week_up_pnl_thr_0.0
trading_day_yyyymmdd_performance.csv,1week_up_ppt_thr_0.0
trading_day_yyyymmdd_performance.csv,2week_up_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,2week_up_ws_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,2week_up_pnl_thr_0.0
trading_day_yyyymmdd_performance.csv,2week_up_ppt_thr_0.0
trading_day_yyyymmdd_performance.csv,4week_up_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,4week_up_ws_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,4week_up_pnl_thr_0.0
trading_day_yyyymmdd_performance.csv,4week_up_ppt_thr_0.0
trading_day_yyyymmdd_performance.csv,8week_up_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,8week_up_ws_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,8week_up_pnl_thr_0.0
trading_day_yyyymmdd_performance.csv,8week_up_ppt_thr_0.0
trading_day_yyyymmdd_performance.csv,13week_up_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,13week_up_ws_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,13week_up_pnl_thr_0.0
trading_day_yyyymmdd_performance.csv,13week_up_ppt_thr_0.0
trading_day_yyyymmdd_performance.csv,26week_up_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,26week_up_ws_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,26week_up_pnl_thr_0.0
trading_day_yyyymmdd_performance.csv,26week_up_ppt_thr_0.0
trading_day_yyyymmdd_performance.csv,52week_up_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,52week_up_ws_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,52week_up_pnl_thr_0.0
trading_day_yyyymmdd_performance.csv,52week_up_ppt_thr_0.0
trading_day_yyyymmdd_performance.csv,from_begin_up_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,from_begin_up_ws_acc_thr_0.0
trading_day_yyyymmdd_performance.csv,from_begin_up_pnl_thr_0.0
trading_day_yyyymmdd_performance.csv,from_begin_up_ppt_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,1day_up_acc_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,1day_up_ws_acc_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,1day_up_pnl_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,1day_up_ppt_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,2day_up_acc_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,2day_up_ws_acc_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,2day_up_pnl_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,2day_up_ppt_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,3day_up_acc_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,3day_up_ws_acc_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,3day_up_pnl_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,3day_up_ppt_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,4day_up_acc_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,4day_up_ws_acc_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,4day_up_pnl_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,4day_up_ppt_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,5day_up_acc_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,5day_up_ws_acc_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,5day_up_pnl_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,5day_up_ppt_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,10day_up_acc_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,10day_up_ws_acc_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,10day_up_pnl_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,10day_up_ppt_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,20day_up_acc_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,20day_up_ws_acc_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,20day_up_pnl_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,20day_up_ppt_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,30day_up_acc_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,30day_up_ws_acc_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,30day_up_pnl_thr_0.0
trading_day_yyyymmdd_regime_performance.csv,30day_up_ppt_thr_0.0