threshold,trade_type,num_trades,winning_trades,losing_trades,win_rate,avg_win,avg_loss,total_pnl_before_fees,total_pnl_after_fees,total_fees,total_pnl,avg_pnl_per_trade,sharpe_ratio,max_drawdown,max_drawdown_pct,profit_factor,volatility,calmar_ratio,gross_profit,gross_loss,composite_score,input_data_file,threshold_display
-0.8,downside,2401,1187,1214,0.4943773427738442,0.5316385846672284,-0.4307866556836902,108.08000000000001,60.059999999999945,48.02,60.059999999999945,0.025014577259475194,0.03777711118872695,43.36999999999988,53.96292148811731,1.109702637539271,0.6652098670919451,1.3848282222734636,607.5400000000001,547.48,56.71,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_neg0p80_down_input_data.csv,
-0.7,downside,3795,1837,1958,0.48405797101449277,0.500223189983669,-0.41682839632277835,102.76,26.859999999999978,75.9,26.859999999999978,0.00707773386034255,0.01111557284977778,63.43500000000008,97.11420698101658,1.0313871214644206,0.6399442974069772,0.4234255537164017,882.625,855.7650000000001,50.95,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_neg0p70_down_input_data.csv,
-0.6,downside,5983,2873,3110,0.4801938826675581,0.4820048729550992,-0.4032170418006431,130.79499999999996,11.134999999999929,119.66,11.134999999999929,0.0018611064683269143,0.003005681785603661,79.71000000000002,127.74038461538484,1.0084553993818866,0.6223165334634686,0.13969389035252697,1328.045,1316.9099999999999,50.26,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_neg0p60_down_input_data.csv,
-0.5,downside,9143,4359,4784,0.4767581756535054,0.46038426244551506,-0.39437290969899663,120.135,-62.72500000000006,182.86,-62.72500000000006,-0.006860439680629996,-0.011477765748651945,127.55500000000023,301.12134088763077,0.9683754112204898,0.6009361955439896,-0.4917486574418874,1920.6999999999998,1983.425,24.33,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_neg0p50_down_input_data.csv,
-0.4,downside,13965,6701,7264,0.4798424633011099,0.4352507088494254,-0.37732034691629956,175.76000000000002,-103.54000000000013,279.3,-103.54000000000013,-0.007414249910490522,-0.013094355110126042,161.87000000000023,353.620972146369,0.9641458406197085,0.5696847317746645,-0.6396491011305367,2784.2700000000004,2887.81,24.21,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_neg0p40_down_input_data.csv,
-0.3,downside,20731,9955,10776,0.48019873619217596,0.4116348568558513,-0.3634739235337787,181.02999999999997,-233.59000000000017,414.62,-233.59000000000017,-0.011267666779219535,-0.020800445924984836,269.7949999999995,773.605734767025,0.9435101618348375,0.5451479467913277,-0.8658055190051728,3901.49,4135.08,23.74,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_neg0p30_down_input_data.csv,
-0.2,downside,29875,14297,15578,0.47856066945606696,0.39294117647058824,-0.35070901271023236,154.53499999999997,-442.96500000000026,597.5,-442.96500000000026,-0.014827280334728042,-0.02838669863418906,451.13999999999845,7253.0546623793925,0.9233489964068083,0.5257105995058707,-0.9818792392605439,5336.0199999999995,5778.985000000001,23.4,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_neg0p20_down_input_data.csv,
-0.1,downside,41527,19888,21639,0.47891733089315386,0.3764493664521319,-0.3381875317713388,168.78499999999997,-661.7550000000002,830.54,-661.7550000000002,-0.01593553591639175,-0.031588644690942205,666.6199999999949,24598.52398523967,0.9146848035025702,0.5083756042061,-0.9927019891392477,7094.835000000001,7756.59,23.38,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_neg0p10_down_input_data.csv,
-0.0,downside,54713,26143,28570,0.4778206276387696,0.3676240293768887,-0.3315101505075254,139.54999999999998,-954.7100000000004,1094.26,-954.7100000000004,-0.01744941787143824,-0.03526694497578034,957.964999999992,107636.5168539318,0.9050065321628176,0.4987188590946547,-0.9966021723131935,9095.560000000001,10050.27,23.31,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_neg0p00_down_input_data.csv,-0.0
0.0,upside,61286,31688,29598,0.5170512025584962,0.42796058444837165,-0.4398185688222177,543.4650000000003,-682.2550000000006,1225.72,-682.2550000000006,-0.01113231406846589,-0.017350754334100202,779.5900000000013,9308.537313432853,0.9498978871713829,0.6463818184611698,-0.8751459100296303,12935.035000000002,13617.29,24.05,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_0p00_up_input_data.csv,+0.0
0.1,upside,47876,24750,23126,0.5169604812432116,0.45638808080808085,-0.4675854017123584,482.225,-475.29500000000036,957.52,-475.29500000000036,-0.009927625532625958,-0.014573811647216115,611.1000000000025,2120.7704320665716,0.9578692968273553,0.6860251719163625,-0.7777695958108303,10806.145,11281.44,24.14,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_0p10_up_input_data.csv,
0.2,upside,35676,18372,17304,0.5149680457450386,0.4969145983017635,-0.5094642857142857,313.5450000000001,-399.97500000000025,713.52,-399.97500000000025,-0.011211318533467884,-0.015207860390097713,531.0150000000017,2306.254071661255,0.9563627139724413,0.7421984397837104,-0.7532273099629935,8765.925,9165.9,23.92,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_0p20_up_input_data.csv,
0.3,upside,26049,13362,12687,0.51295635149142,0.5488609489597365,-0.5559379679987388,280.69500000000005,-240.28500000000025,520.98,-240.28500000000025,-0.009224346424046998,-0.011519661909198578,414.78500000000065,680.3657836463568,0.967127880936127,0.8054168306699594,-0.5793001193389343,7069.404999999999,7309.6900000000005,24.04,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_0p30_up_input_data.csv,
0.4,upside,18705,9511,9194,0.5084736701416733,0.6050977815161391,-0.6078431585816837,166.575,-207.5250000000002,374.1,-207.5250000000002,-0.011094627105052136,-0.012777663633498406,379.2400000000007,452.2568719813978,0.9640596451425754,0.8725746542708801,-0.5472128467461234,5566.625000000001,5774.15,23.74,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_0p40_up_input_data.csv,
0.5,upside,13665,6934,6731,0.5074277350896451,0.6603389097202192,-0.6579119001634229,150.38500000000005,-122.91500000000016,273.3,-122.91500000000016,-0.008994877424076118,-0.009661631063497739,312.0599999999999,278.5255265976435,0.9730687572167578,0.9342712795814753,-0.393882586682049,4441.115,4564.030000000001,23.83,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_0p50_up_input_data.csv,
0.6,upside,10112,5154,4958,0.5096914556962026,0.7086185487000388,-0.7071813231141589,146.015,-56.22500000000013,202.24,-56.22500000000013,-0.0055602254746835575,-0.005602975301018827,270.84000000000003,181.1820584005083,0.9844078231268936,0.9953230529203233,-0.20759488997193962,3549.75,3605.975,24.07,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_0p60_up_input_data.csv,
0.7,upside,7503,3790,3713,0.5051312808210049,0.7456543535620054,-0.7436951252356585,64.69000000000007,-85.37000000000008,150.06,-85.37000000000008,-0.011378115420498477,-0.010992190305383927,236.2249999999998,246.81329014731955,0.9698984862855993,1.0384306773167018,-0.3613927399724845,2750.7,2836.07,23.43,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_0p70_up_input_data.csv,
0.8,upside,5589,2809,2780,0.502594381821435,0.784754360982556,-0.7799136690647481,36.21500000000002,-75.56500000000007,111.78,-75.56500000000007,-0.0135203077473609,-0.012433101915786548,200.41500000000013,287.3539321815184,0.9660257577494678,1.090958008213068,-0.377042636529202,2148.62,2224.185,23.13,/home/stephen/projects/Testing/TestPy/test-lstm/model_trading/model_trading_performance/trading_performance_input/model_00001_threshold_0p80_up_input_data.csv,
